WIP,REV NO ,BOM_days,정상,준긴급,최소,LT부족,WO미발행,기타,설계(REV),설계문제,설계보류,자재문제,제작지연,품질문제,CN,CS,DSS,HSCS,LTCS,NA,SDSS,SS,TN,DIA,Joint 수,중량,두께,(주)성광테크,부흥,삼성중공업(주)거제,삼성중공업_해)의장1부(내부용),삼성중공업_해)의장2부의장4과(내부용,성일SIM함안공장,칠서피앤에스,피앤엘,납품기준일-WO일,Process day(입고일-WO일)
72,1,198,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,17,6,0,0,0,0,0,0,1,0,50,105
72,2,122,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,9,6,0,0,0,0,0,0,1,0,50,116
72,2,122,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,8,9,6,0,0,0,0,0,0,1,0,50,125
72,1,40,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,18,6,0,0,0,0,0,0,1,0,50,105
72,1,54,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,17,6,0,0,0,0,0,0,1,0,50,105
3,1,188,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8,7,48,5,0,0,0,0,0,0,0,1,53,122
3,0,188,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,4,76,4,0,0,0,0,0,0,0,1,54,122
75,2,105,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,7,14,6,0,0,0,0,0,0,1,0,45,153
9,1,88,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,8,36,9,0,0,0,0,0,1,0,0,48,132
75,2,140,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13,11,5,0,0,0,0,0,0,1,0,26,124
75,2,105,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,5,23,6,0,0,0,0,0,0,1,0,46,115
9,0,185,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,6,124,4,0,0,0,0,0,0,0,1,50,123
9,1,61,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,5,22,3,0,0,0,0,0,0,0,1,85,167
85,1,158,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,6,5,5,0,0,0,0,0,0,1,0,44,118
85,1,115,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,6,5,5,0,0,0,0,0,0,1,0,44,120
85,1,115,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,6,5,5,0,0,0,0,0,0,1,0,44,120
85,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,6,5,5,0,0,0,0,0,0,1,0,85,120
85,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,6,5,5,0,0,0,0,0,0,1,0,85,120
85,2,140,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,16,4,618,31,0,0,0,0,0,0,1,0,51,122
4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,3,8,6,0,0,0,1,0,0,0,0,59,100
10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3,2,8,0,0,0,0,0,1,0,0,62,106
85,2,146,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,15,9,0,0,0,0,0,0,1,0,66,97
85,2,57,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,7,21,9,0,0,0,0,0,0,1,0,62,122
4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,5,6,0,0,0,1,0,0,0,0,44,98
4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,11,6,0,0,0,1,0,0,0,0,44,100
85,1,44,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,5,6,0,0,0,0,0,0,1,0,44,101
9,0,16,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,10,3,121,6,0,0,0,0,0,0,0,1,90,80
4,0,16,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,8,15,6,0,0,0,1,0,0,0,0,90,98
9,0,13,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,5,8,3,0,0,0,0,0,0,0,1,90,97
9,1,41,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,5,16,3,0,0,0,0,0,0,0,1,90,113
9,1,41,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,26,3,0,0,0,0,0,0,0,1,90,127
85,1,45,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,3,10,6,0,0,0,0,0,0,1,0,90,121
13,0,195,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,20,5,621,10,0,0,0,0,0,1,0,0,48,152
97,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,5,5,0,0,0,0,0,0,1,0,84,110
97,1,163,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,5,5,0,0,0,0,0,0,1,0,84,110
97,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,5,5,0,0,0,0,0,0,1,0,84,110
